form	label	len	freq	train_freq	dev_freq	form	form_freq	label	num_labels	label_freq
영화	CV_ART	2	5241	4246	995	영화	5242	CV_ART	2	7666
영화	FD_ART	2	1	1	0	영화	5242	FD_ART	2	50
한국	LCP_COUNTRY	2	927	745	182	한국	977	LCP_COUNTRY	4	4628
한국	OGG_SPORTS	2	40	32	8	한국	977	OGG_SPORTS	4	1017
한국	OGG_POLITICS	2	9	6	3	한국	977	OGG_POLITICS	4	4964
한국	CV_LANGUAGE	2	1	0	1	한국	977	CV_LANGUAGE	4	60
이날	DT_DAY	2	809	647	162	이날	809	DT_DAY	1	5422
서울	LCP_CAPITALCITY	2	786	630	156	서울	788	LCP_CAPITALCITY	2	1162
서울	OGG_SPORTS	2	2	2	0	서울	788	OGG_SPORTS	2	1017
배우	CV_OCCUPATION	2	773	622	151	배우	773	CV_OCCUPATION	1	4368
경찰	OGG_POLITICS	2	735	607	128	경찰	755	OGG_POLITICS	2	4964
경찰	CV_OCCUPATION	2	20	18	2	경찰	755	CV_OCCUPATION	2	4368
미국	LCP_COUNTRY	2	554	467	87	미국	605	LCP_COUNTRY	3	4628
미국	OGG_POLITICS	2	45	38	7	미국	605	OGG_POLITICS	3	4964
미국	OGG_SPORTS	2	6	4	2	미국	605	OGG_SPORTS	3	1017
A	PS_NAME	1	589	484	105	A	593	PS_NAME	3	21537
A	QT_ORDER	1	3	2	1	A	593	QT_ORDER	3	2695
A	OGG_ECONOMY	1	1	1	0	A	593	OGG_ECONOMY	3	2003
감독	CV_OCCUPATION	2	513	409	104	감독	568	CV_OCCUPATION	2	4368
감독	CV_POSITION	2	55	53	2	감독	568	CV_POSITION	2	4600
일본	LCP_COUNTRY	2	498	404	94	일본	526	LCP_COUNTRY	3	4628
일본	OGG_POLITICS	2	17	16	1	일본	526	OGG_POLITICS	3	4964
일본	OGG_SPORTS	2	11	11	0	일본	526	OGG_SPORTS	3	1017
드라마	CV_ART	3	512	399	113	드라마	522	CV_ART	2	7666
드라마	AFA_VIDEO	3	10	10	0	드라마	522	AFA_VIDEO	2	2799
김	PS_NAME	1	483	401	82	김	488	PS_NAME	2	21537
김	CV_FOOD	1	5	4	1	김	488	CV_FOOD	2	402
